Time [sec],Altitude True [m],Velocity True [m/s],Ballistic Coefficient True [],Range True [m],Range measurement [m],
0,15000,-500,0.001,11180.3,11118.4,
0.1002,14950,-498.339,0.001,11135.6,11115.3,
0.200401,14900.1,-496.676,0.001,11091.1,11171.7,
0.300601,14850.4,-495.012,0.001,11046.8,11066.8,
0.400802,14800.9,-493.346,0.001,11002.6,11071.8,
0.501002,14751.6,-491.68,0.001,10958.7,10961.3,
0.601202,14702.4,-490.013,0.001,10915,10869.8,
0.701403,14653.4,-488.345,0.001,10871.4,10965,
0.801603,14604.5,-486.677,0.001,10828.1,10745,
0.901804,14555.9,-485.008,0.001,10784.9,10750.5,
1.002,14507.3,-483.34,0.001,10741.9,10745.7,
1.1022,14459,-481.671,0.001,10699.2,10772.9,
1.2024,14410.8,-480.002,0.001,10656.6,10661.5,
1.30261,14362.8,-478.334,0.001,10614.2,10569.6,
1.40281,14315,-476.666,0.001,10572.1,10560.6,
1.50301,14267.3,-474.998,0.001,10530.1,10588.3,
1.60321,14219.8,-473.332,0.001,10488.3,10517.5,
1.70341,14172.4,-471.666,0.001,10446.7,10413.7,
1.80361,14125.2,-470.001,0.001,10405.3,10432,
1.90381,14078.2,-468.338,0.001,10364.1,10333.7,
2.00401,14031.4,-466.676,0.001,10323.1,10360.4,
2.10421,13984.7,-465.015,0.001,10282.3,10194.7,
2.20441,13938.2,-463.356,0.001,10241.6,10193.4,
2.30461,13891.8,-461.698,0.001,10201.2,10177.5,
2.40481,13845.7,-460.043,0.001,10161,10133.7,
2.50501,13799.7,-458.389,0.001,10121,10119,
2.60521,13753.8,-456.737,0.001,10081.1,10090.9,
2.70541,13708.1,-455.088,0.001,10041.5,10017.2,
2.80561,13662.6,-453.441,0.001,10002,9983.53,
2.90581,13617.3,-451.797,0.001,9962.79,9906.58,
3.00601,13572.1,-450.155,0.001,9923.73,10010.6,
3.10621,13527,-448.516,0.001,9884.86,9928.97,
3.20641,13482.2,-446.88,0.001,9846.19,9771.05,
3.30661,13437.5,-445.247,0.001,9807.71,9836.25,
3.40681,13393,-443.617,0.001,9769.43,9722.93,
3.50701,13348.6,-441.99,0.001,9731.34,9684.59,
3.60721,13304.4,-440.366,0.001,9693.44,9655.21,
3.70741,13260.3,-438.746,0.001,9655.73,9668.28,
3.80762,13216.5,-437.13,0.001,9618.22,9608.81,
3.90782,13172.7,-435.517,0.001,9580.9,9505.24,
4.00802,13129.2,-433.907,0.001,9543.77,9609.9,
4.10822,13085.8,-432.302,0.001,9506.83,9603.57,
4.20842,13042.5,-430.7,0.001,9470.09,9532.71,
4.30862,12999.5,-429.103,0.001,9433.53,9485.62,
4.40882,12956.6,-427.509,0.001,9397.17,9362.32,
4.50902,12913.8,-425.92,0.001,9360.99,9387.85,
4.60922,12871.2,-424.335,0.001,9325.01,9359.75,
4.70942,12828.8,-422.755,0.001,9289.21,9316.27,
4.80962,12786.5,-421.179,0.001,9253.61,9155.16,
4.90982,12744.4,-419.607,0.001,9218.19,9235.9,
5.01002,12702.4,-418.04,0.001,9182.96,9160.2,
5.11022,12660.6,-416.478,0.001,9147.92,9166.82,
5.21042,12618.9,-414.921,0.001,9113.07,9099.36,
5.31062,12577.4,-413.368,0.001,9078.4,9078.68,
5.41082,12536.1,-411.82,0.001,9043.92,8955.28,
5.51102,12494.9,-410.278,0.001,9009.63,9035.62,
5.61122,12453.9,-408.74,0.001,8975.53,8977.69,
5.71142,12413,-407.208,0.001,8941.61,8843.27,
5.81162,12372.3,-405.68,0.001,8907.87,8883.84,
5.91182,12331.7,-404.158,0.001,8874.32,8782.5,
6.01202,12291.3,-402.642,0.001,8840.96,8828.07,
6.11222,12251,-401.131,0.001,8807.78,8788.19,
6.21242,12210.9,-399.625,0.001,8774.78,8909.57,
6.31263,12170.9,-398.124,0.001,8741.97,8824.89,
6.41283,12131.1,-396.63,0.001,8709.33,8652.45,
6.51303,12091.4,-395.141,0.001,8676.88,8615.87,
6.61323,12051.9,-393.657,0.001,8644.62,8650.17,
6.71343,12012.5,-392.179,0.001,8612.53,8578.88,
6.81363,11973.3,-390.707,0.001,8580.62,8510.72,
6.91383,11934.2,-389.241,0.001,8548.9,8525.03,
7.01403,11895.3,-387.781,0.001,8517.35,8549.51,
7.11423,11856.5,-386.327,0.001,8485.99,8554.75,
7.21443,11817.9,-384.878,0.001,8454.8,8391.85,
7.31463,11779.4,-383.436,0.001,8423.79,8436.76,
7.41483,11741,-381.999,0.001,8392.96,8311.72,
7.51503,11702.8,-380.569,0.001,8362.3,8312.46,
7.61523,11664.8,-379.144,0.001,8331.83,8324.36,
7.71543,11626.9,-377.726,0.001,8301.52,8234.83,
7.81563,11589.1,-376.314,0.001,8271.4,8199.22,
7.91583,11551.4,-374.908,0.001,8241.45,8274.35,
8.01603,11514,-373.508,0.001,8211.67,8195.57,
8.11623,11476.6,-372.115,0.001,8182.07,8163.04,
8.21643,11439.4,-370.728,0.001,8152.65,8182.32,
8.31663,11402.3,-369.347,0.001,8123.39,8176.29,
8.41683,11365.4,-367.972,0.001,8094.31,8033.67,
8.51703,11328.6,-366.604,0.001,8065.4,8060.37,
8.61723,11291.9,-365.242,0.001,8036.66,8060.1,
8.71743,11255.4,-363.887,0.001,8008.1,8049.05,
8.81764,11219,-362.538,0.001,7979.7,7970.31,
8.91784,11182.7,-361.195,0.001,7951.47,7950.32,
9.01804,11146.6,-359.859,0.001,7923.42,7908.28,
9.11824,11110.6,-358.529,0.001,7895.53,7845.56,
9.21844,11074.7,-357.206,0.001,7867.81,7786.41,
9.31864,11039,-355.889,0.001,7840.26,7827.73,
9.41884,11003.4,-354.578,0.001,7812.88,7845.82,
9.51904,10968,-353.274,0.001,7785.66,7736.99,
9.61924,10932.6,-351.977,0.001,7758.61,7698.52,
9.71944,10897.4,-350.686,0.001,7731.72,7711.75,
9.81964,10862.3,-349.402,0.001,7705,7668.65,
9.91984,10827.4,-348.124,0.001,7678.45,7700.37,
10.02,10792.6,-346.852,0.001,7652.06,7630.58,
10.1202,10757.9,-345.588,0.001,7625.83,7515.35,
10.2204,10723.3,-344.329,0.001,7599.76,7538.48,
10.3206,10688.9,-343.078,0.001,7573.86,7610.59,
10.4208,10654.6,-341.832,0.001,7548.12,7579.63,
10.521,10620.4,-340.594,0.001,7522.54,7529.43,
10.6212,10586.3,-339.362,0.001,7497.13,7530.83,
10.7214,10552.4,-338.136,0.001,7471.87,7457.81,
10.8216,10518.6,-336.917,0.001,7446.77,7387.05,
10.9218,10484.9,-335.704,0.001,7421.83,7475.29,
